"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Language spoken most often at home,          Kwak'wala (Kwakiutl),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"          Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"        Indigenous languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"        Indigenous languages, n.o.s.",,0,,0,,0,,0,,0,,0,
Language spoken most often at home,      Non-Indigenous languages,,200235,,97510,,102725,,14.3,,13.9,,14.6,
Language spoken most often at home,        Afro-Asiatic languages,,24575,,12220,,12360,,1.7,,1.7,,1.8,
Language spoken most often at home,          Berber languages,,70,,35,,40,,0,,0,,0,
Language spoken most often at home,            Kabyle,,45,,20,,20,,0,,0,,0,
Language spoken most often at home,            Tamazight,,30,,10,,15,,0,,0,,0,
Language spoken most often at home,"            Berber languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Chadic languages,,55,,35,,20,,0,,0,,0,
Language spoken most often at home,            Hausa,,50,,30,,20,,0,,0,,0,
Language spoken most often at home,            Mina,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Coptic,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Cushitic languages,,6450,,3115,,3335,,0.5,,0.4,,0.5,
Language spoken most often at home,            Bilen,,345,,180,,165,,0,,0,,0,
Language spoken most often at home,            Oromo,,1155,,575,,575,,0.1,,0.1,,0.1,
Language spoken most often at home,            Somali,,4925,,2345,,2580,,0.4,,0.3,,0.4,
Language spoken most often at home,"            Cushitic languages, n.i.e.",,25,,15,,10,,0,,0,,0,
Language spoken most often at home,          Semitic languages,,18000,,9030,,8970,,1.3,,1.3,,1.3,
Language spoken most often at home,            Amharic,,1775,,820,,955,,0.1,,0.1,,0.1,
Language spoken most often at home,            Arabic,,12675,,6395,,6275,,0.9,,0.9,,0.9,
Language spoken most often at home,            Aramaic languages,,105,,50,,55,,0,,0,,0,
Language spoken most often at home,              Assyrian Neo-Aramaic,,40,,20,,25,,0,,0,,0,
Language spoken most often at home,              Chaldean Neo-Aramaic,,30,,10,,15,,0,,0,,0,
Language spoken most often at home,"              Aramaic, n.o.s.",,40,,20,,20,,0,,0,,0,
Language spoken most often at home,            Harari,,110,,55,,60,,0,,0,,0,
Language spoken most often at home,            Hebrew,,155,,85,,75,,0,,0,,0,
Language spoken most often at home,            Maltese,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Tigrigna,,3155,,1610,,1550,,0.2,,0.2,,0.2,
Language spoken most often at home,"            Semitic languages, n.i.e.",,20,,10,,10,,0,,0,,0,
Language spoken most often at home,        Austro-Asiatic languages,,6385,,2920,,3465,,0.5,,0.4,,0.5,
Language spoken most often at home,          Khmer (Cambodian),,385,,170,,210,,0,,0,,0,
Language spoken most often at home,          Vietnamese,,5935,,2710,,3225,,0.4,,0.4,,0.5,
Language spoken most often at home,"          Austro-Asiatic languages, n.i.e",,65,,40,,25,,0,,0,,0,
Language spoken most often at home,        Austronesian languages,,30570,,14335,,16240,,2.2,,2,,2.3,
Language spoken most often at home,          Bikol,,60,,30,,35,,0,,0,,0,
Language spoken most often at home,"          Bisaya, n.o.s.",,430,,200,,225,,0,,0,,0,
Language spoken most often at home,          Cebuano,,1200,,560,,635,,0.1,,0.1,,0.1,
Language spoken most often at home,          Fijian,,15,,5,,5,,0,,0,,0,
Language spoken most often at home,          Hiligaynon,,485,,220,,265,,0,,0,,0,
Language spoken most often at home,          Ilocano,,1465,,680,,785,,0.1,,0.1,,0.1,
Language spoken most often at home,          Indonesian,,180,,85,,95,,0,,0,,0,
Language spoken most often at home,          Kankanaey,,65,,25,,40,,0,,0,,0,
Language spoken most often at home,          Kinaray-a,,30,,10,,15,,0,,0,,0,
Language spoken most often at home,          Malagasy languages,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,            Merina,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"            Malagasy, n.o.s.",,5,,0,,0,,0,,0,,0,
Language spoken most often at home,          Malay,,20,,5,,10,,0,,0,,0,
Language spoken most often at home,"          Pampangan (Kapampangan, Pampango)",,310,,135,,175,,0,,0,,0,
Language spoken most often at home,          Pangasinan,,85,,35,,50,,0,,0,,0,
Language spoken most often at home,"          Tagalog (Pilipino, Filipino)",,26000,,12220,,13780,,1.9,,1.7,,2,
Language spoken most often at home,          Waray-Waray,,40,,15,,30,,0,,0,,0,
Language spoken most often at home,"          Austronesian languages, n.i.e.",,185,,85,,95,,0,,0,,0,
Language spoken most often at home,        Creole languages,,575,,275,,300,,0,,0,,0,
Language spoken most often at home,          Haitian Creole,,175,,85,,90,,0,,0,,0,
Language spoken most often at home,          Jamaican English Creole,,20,,10,,10,,0,,0,,0,
Language spoken most often at home,          Krio,,95,,45,,55,,0,,0,,0,
Language spoken most often at home,          Morisyen,,125,,65,,60,,0,,0,,0,
Language spoken most often at home,          Sango,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"          Creole, n.o.s.",,100,,45,,50,,0,,0,,0,
Language spoken most often at home,"          Creole languages, n.i.e.",,55,,25,,30,,0,,0,,0,
Language spoken most often at home,        Dravidian languages,,6180,,3125,,3055,,0.4,,0.4,,0.4,
Language spoken most often at home,          Kannada,,100,,50,,55,,0,,0,,0,
Language spoken most often at home,          Malayalam,,3550,,1780,,1770,,0.3,,0.3,,0.3,
Language spoken most often at home,          Tamil,,1720,,885,,835,,0.1,,0.1,,0.1,
Language spoken most often at home,          Telugu,,795,,405,,390,,0.1,,0.1,,0.1,
Language spoken most often at home,          Tulu,,5,,5,,5,,0,,0,,0,
Language spoken most often at home,"          Dravidian languages, n.i.e.",,0,,5,,0,,0,,0,,0,
Language spoken most often at home,        Georgian,,35,,20,,15,,0,,0,,0,
Language spoken most often at home,        Hmong-Mien languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Indo-European languages,,89235,,44395,,44840,,6.4,,6.3,,6.4,
Language spoken most often at home,          Albanian,,350,,180,,165,,0,,0,,0,
Language spoken most often at home,          Armenian,,65,,35,,30,,0,,0,,0,
Language spoken most often at home,          Balto-Slavic languages,,11770,,5650,,6120,,0.8,,0.8,,0.9,
Language spoken most often at home,            Baltic languages,,110,,55,,55,,0,,0,,0,
Language spoken most often at home,              Latvian,,50,,25,,25,,0,,0,,0,
Language spoken most often at home,              Lithuanian,,60,,30,,30,,0,,0,,0,
Language spoken most often at home,            Slavic languages,,11660,,5595,,6065,,0.8,,0.8,,0.9,
Language spoken most often at home,              Belarusian,,10,,0,,5,,0,,0,,0,
Language spoken most often at home,              Bulgarian,,195,,95,,100,,0,,0,,0,
Language spoken most often at home,              Czech,,195,,95,,95,,0,,0,,0,
Language spoken most often at home,              Macedonian,,100,,55,,45,,0,,0,,0,
Language spoken most often at home,              Polish,,3325,,1570,,1755,,0.2,,0.2,,0.2,
Language spoken most often at home,              Russian,,3400,,1635,,1765,,0.2,,0.2,,0.3,
Language spoken most often at home,              Rusyn,,5,,5,,0,,0,,0,,0,
Language spoken most often at home,              Serbo-Croatian,,2035,,970,,1065,,0.1,,0.1,,0.2,
Language spoken most often at home,                Bosnian,,305,,145,,160,,0,,0,,0,
Language spoken most often at home,                Croatian,,725,,355,,365,,0.1,,0.1,,0.1,
Language spoken most often at home,                Serbian,,995,,460,,535,,0.1,,0.1,,0.1,
Language spoken most often at home,"                Serbo-Croatian, n.i.e.",,20,,10,,10,,0,,0,,0,
Language spoken most often at home,              Slovak,,115,,60,,60,,0,,0,,0,
Language spoken most often at home,              Slovene (Slovenian),,55,,30,,25,,0,,0,,0,
Language spoken most often at home,              Ukrainian,,2210,,1075,,1135,,0.2,,0.2,,0.2,
Language spoken most often at home,"              Slavic languages, n.i.e.",,5,,0,,5,,0,,0,,0,
Language spoken most often at home,          Celtic languages,,10,,5,,5,,0,,0,,0,
Language spoken most often at home,            Irish,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,            Scottish Gaelic,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,            Welsh,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"            Celtic languages, n.i.e.",,5,,5,,0,,0,,0,,0,
Language spoken most often at home,          Germanic languages,,2315,,1100,,1215,,0.2,,0.2,,0.2,
Language spoken most often at home,            Frisian,,5,,5,,5,,0,,0,,0,
Language spoken most often at home,            High German languages,,1710,,820,,890,,0.1,,0.1,,0.1,
Language spoken most often at home,              German,,1680,,805,,875,,0.1,,0.1,,0.1,
Language spoken most often at home,              Pennsylvania German,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Swiss German,,30,,15,,15,,0,,0,,0,
Language spoken most often at home,              Yiddish,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Low Saxon-Low Franconian languages,,525,,240,,285,,0,,0,,0,
Language spoken most often at home,              Afrikaans,,305,,155,,150,,0,,0,,0,
Language spoken most often at home,              Dutch,,210,,85,,130,,0,,0,,0,
Language spoken most often at home,"              Low German, n.o.s.",,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Low Saxon,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Plautdietsch,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,              Vlaams (Flemish),,0,,0,,5,,0,,0,,0,
Language spoken most often at home,            Scandinavian languages,,70,,30,,35,,0,,0,,0,
Language spoken most often at home,              Danish,,30,,10,,15,,0,,0,,0,
Language spoken most often at home,              Icelandic,,5,,5,,5,,0,,0,,0,
Language spoken most often at home,              Norwegian,,10,,5,,0,,0,,0,,0,
Language spoken most often at home,              Swedish,,30,,15,,15,,0,,0,,0,
Language spoken most often at home,"            Germanic languages, n.i.e.",,5,,5,,0,,0,,0,,0,
Language spoken most often at home,          Greek,,330,,150,,180,,0,,0,,0,
Language spoken most often at home,          Indo-Iranian languages,,58710,,29725,,28985,,4.2,,4.2,,4.1,
Language spoken most often at home,            Indo-Aryan languages,,54405,,27585,,26820,,3.9,,3.9,,3.8,
Language spoken most often at home,              Assamese,,15,,10,,5,,0,,0,,0,
Language spoken most often at home,              Bengali,,1785,,895,,890,,0.1,,0.1,,0.1,
Language spoken most often at home,              Gujarati,,4825,,2435,,2385,,0.3,,0.3,,0.3,
Language spoken most often at home,              Hindi,,5875,,2960,,2915,,0.4,,0.4,,0.4,
Language spoken most often at home,              Kacchi,,230,,95,,140,,0,,0,,0,
Language spoken most often at home,              Kashmiri,,15,,10,,5,,0,,0,,0,
Language spoken most often at home,              Konkani,,40,,20,,25,,0,,0,,0,
Language spoken most often at home,              Marathi,,510,,255,,255,,0,,0,,0,
Language spoken most often at home,              Nepali,,1695,,885,,805,,0.1,,0.1,,0.1,
Language spoken most often at home,              Oriya languages,,35,,20,,15,,0,,0,,0,
Language spoken most often at home,                Odia,,25,,15,,15,,0,,0,,0,
Language spoken most often at home,"                Oriya, n.o.s.",,5,,5,,5,,0,,0,,0,
Language spoken most often at home,              Punjabi (Panjabi),,32345,,16505,,15835,,2.3,,2.4,,2.2,
Language spoken most often at home,              Rohingya,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Sindhi,,205,,100,,105,,0,,0,,0,
Language spoken most often at home,              Sinhala (Sinhalese),,800,,400,,400,,0.1,,0.1,,0.1,
Language spoken most often at home,              Urdu,,5870,,2915,,2955,,0.4,,0.4,,0.4,
Language spoken most often at home,"              Indo-Aryan languages, n.i.e.",,165,,85,,80,,0,,0,,0,
Language spoken most often at home,            Iranian languages,,4300,,2135,,2165,,0.3,,0.3,,0.3,
Language spoken most often at home,              Baluchi,,10,,5,,5,,0,,0,,0,
Language spoken most often at home,              Kurdish,,435,,225,,210,,0,,0,,0,
Language spoken most often at home,              Parsi,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,              Pashto,,495,,230,,265,,0,,0,,0,
Language spoken most often at home,              Persian languages,,3330,,1660,,1670,,0.2,,0.2,,0.2,
Language spoken most often at home,                Dari,,970,,455,,515,,0.1,,0.1,,0.1,
Language spoken most often at home,                Iranian Persian,,1980,,1010,,970,,0.1,,0.1,,0.1,
Language spoken most often at home,"                Persian (Farsi), n.o.s.",,380,,195,,185,,0,,0,,0,
Language spoken most often at home,"              Iranian languages, n.i.e.",,20,,10,,15,,0,,0,,0,
Language spoken most often at home,"            Indo-Iranian languages, n.i.e.",,5,,5,,0,,0,,0,,0,
Language spoken most often at home,          Italic (Romance) languages,,15685,,7555,,8125,,1.1,,1.1,,1.2,
Language spoken most often at home,            Catalan,,10,,5,,5,,0,,0,,0,
Language spoken most often at home,            Italian,,1050,,430,,615,,0.1,,0.1,,0.1,
Language spoken most often at home,            Portuguese,,1920,,915,,1005,,0.1,,0.1,,0.1,
Language spoken most often at home,            Romanian,,1125,,545,,580,,0.1,,0.1,,0.1,
Language spoken most often at home,            Spanish,,11570,,5655,,5920,,0.8,,0.8,,0.8,
Language spoken most often at home,"            Italic (Romance) languages, n.i.e.",,5,,5,,5,,0,,0,,0,
Language spoken most often at home,"          Indo-European languages, n.i.e.",,5,,0,,0,,0,,0,,0,
Language spoken most often at home,        Japanese,,430,,170,,260,,0,,0,,0,
Language spoken most often at home,        Korean,,4790,,2285,,2500,,0.3,,0.3,,0.4,
Language spoken most often at home,        Mongolian,,50,,25,,30,,0,,0,,0,
Language spoken most often at home,        Niger-Congo languages,,3455,,1595,,1860,,0.2,,0.2,,0.3,
Language spoken most often at home,          Akan (Twi),,335,,165,,175,,0,,0,,0,
Language spoken most often at home,          Bamanankan,,10,,5,,5,,0,,0,,0,
Language spoken most often at home,          Edo,,20,,10,,15,,0,,0,,0,
Language spoken most often at home,          …wÈ,,20,,10,,5,,0,,0,,0,
Language spoken most often at home,"          Fulah (Pular, Pulaar, Fulfulde)",,90,,45,,50,,0,,0,,0,
Language spoken most often at home,          Ga,,15,,5,,5,,0,,0,,0,
Language spoken most often at home,          Ganda,,95,,40,,55,,0,,0,,0,
Language spoken most often at home,          Gikuyu,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,          Igbo,,200,,95,,105,,0,,0,,0,
Language spoken most often at home,          Kinyarwanda (Rwanda),,445,,200,,245,,0,,0,,0,
Language spoken most often at home,          Lingala,,90,,35,,50,,0,,0,,0,
Language spoken most often at home,          Luba-Kasai,,5,,0,,5,,0,,0,,0,
Language spoken most often at home,          MÚorÈ,,15,,10,,5,,0,,0,,0,
Language spoken most often at home,          Mwani,,30,,15,,15,,0,,0,,0,
Language spoken most often at home,          Ndebele,,75,,30,,45,,0,,0,,0,
Language spoken most often at home,          Rundi (Kirundi),,250,,120,,130,,0,,0,,0,
Language spoken most often at home,          Shona,,185,,85,,95,,0,,0,,0,
Language spoken most often at home,          Soninke,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Sotho-Tswana languages,,40,,15,,25,,0,,0,,0,
Language spoken most often at home,          Swahili,,625,,275,,350,,0,,0,,0,
Language spoken most often at home,          Wojenaka,,5,,5,,5,,0,,0,,0,
Language spoken most often at home,          Wolof,,125,,75,,55,,0,,0,,0,
Language spoken most often at home,          Yoruba,,420,,195,,225,,0,,0,,0,
Language spoken most often at home,"          Niger-Congo languages, n.i.e.",,340,,150,,190,,0,,0,,0,
Language spoken most often at home,        Nilo-Saharan languages,,365,,180,,185,,0,,0,,0,
Language spoken most often at home,          Dinka,,125,,65,,55,,0,,0,,0,
Language spoken most often at home,          Nuer,,125,,60,,65,,0,,0,,0,
Language spoken most often at home,"          Nilo-Saharan languages, n.i.e.",,105,,50,,55,,0,,0,,0,
Language spoken most often at home,"          African, n.o.s.",,10,,5,,5,,0,,0,,0,
Language spoken most often at home,        Sign languages,,595,,345,,255,,0,,0,,0,
Language spoken most often at home,          American Sign Language,,500,,290,,210,,0,,0,,0,
Language spoken most often at home,          Quebec Sign Language,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,"          Sign languages, n.i.e.",,95,,55,,35,,0,,0,,0,
Language spoken most often at home,        Sino-Tibetan languages,,30660,,14460,,16205,,2.2,,2.1,,2.3,
Language spoken most often at home,          Chinese languages,,30135,,14195,,15940,,2.1,,2,,2.3,
Language spoken most often at home,            Hakka,,210,,85,,125,,0,,0,,0,
Language spoken most often at home,            Mandarin,,14730,,7170,,7560,,1,,1,,1.1,
Language spoken most often at home,            Min Dong,,10,,5,,0,,0,,0,,0,
Language spoken most often at home,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,480,,200,,280,,0,,0,,0,
Language spoken most often at home,            Wu (Shanghainese),,105,,45,,60,,0,,0,,0,
Language spoken most often at home,            Yue (Cantonese),,14215,,6495,,7720,,1,,0.9,,1.1,
Language spoken most often at home,"            Chinese, n.o.s.",,380,,185,,195,,0,,0,,0,
Language spoken most often at home,"            Chinese languages, n.i.e.",,10,,5,,5,,0,,0,,0,
Language spoken most often at home,          Tibeto-Burman languages,,495,,245,,245,,0,,0,,0,
Language spoken most often at home,            Burmese,,80,,45,,35,,0,,0,,0,
Language spoken most often at home,            Kuki-Chin languages,,40,,20,,20,,0,,0,,0,
Language spoken most often at home,            Karenic languages,,320,,160,,160,,0,,0,,0,
Language spoken most often at home,              S'gaw Karen,,265,,130,,135,,0,,0,,0,
Language spoken most often at home,"              Karenic languages, n.i.e.",,55,,30,,25,,0,,0,,0,
Language spoken most often at home,            Tibetan,,15,,10,,5,,0,,0,,0,
Language spoken most often at home,"            Tibeto-Burman languages, n.i.e.",,40,,15,,20,,0,,0,,0,
Language spoken most often at home,"          Sino-Tibetan languages, n.i.e.",,35,,15,,15,,0,,0,,0,
Language spoken most often at home,        Tai-Kadai languages,,445,,195,,245,,0,,0,,0,
Language spoken most often at home,          Lao,,165,,75,,90,,0,,0,,0,
Language spoken most often at home,          Thai,,255,,110,,145,,0,,0,,0,
Language spoken most often at home,"          Tai-Kadai languages, n.i.e.",,25,,10,,20,,0,,0,,0,
Language spoken most often at home,        Turkic languages,,1420,,750,,665,,0.1,,0.1,,0.1,
Language spoken most often at home,          Azerbaijani,,105,,60,,50,,0,,0,,0,
Language spoken most often at home,          Kazakh,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Turkish,,1195,,635,,560,,0.1,,0.1,,0.1,
Language spoken most often at home,          Uyghur,,40,,20,,20,,0,,0,,0,
Language spoken most often at home,          Uzbek,,55,,30,,20,,0,,0,,0,
Language spoken most often at home,"          Turkic languages, n.i.e.",,15,,10,,5,,0,,0,,0,
Language spoken most often at home,        Uralic languages,,435,,200,,235,,0,,0,,0,
Language spoken most often at home,          Estonian,,5,,0,,0,,0,,0,,0,
Language spoken most often at home,          Finnish,,25,,10,,15,,0,,0,,0,
Language spoken most often at home,          Hungarian,,405,,185,,220,,0,,0,,0,
Language spoken most often at home,"        Other languages, n.i.e.",,40,,15,,20,,0,,0,,0,
Language spoken most often at home,  Multiple responses,,64300,,31125,,33175,,4.6,,4.5,,4.7,
Language spoken most often at home,    English and French,,3265,,1565,,1705,,0.2,,0.2,,0.2,
Language spoken most often at home,    English and non-official language(s),,58390,,28315,,30075,,4.2,,4,,4.3,
Language spoken most often at home,    French and non-official language(s),,435,,190,,250,,0,,0,,0,
Language spoken most often at home,"    English, French and non-official language(s)",,855,,430,,430,,0.1,,0.1,,0.1,
Language spoken most often at home,    Multiple non-official languages,,1345,,630,,720,,0.1,,0.1,,0.1,
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,42,1404625,,699420,,705210,,100,,100,,100,
Other language spoken regularly at home,  None,,1172435,,587165,,585270,,83.5,,84,,83,
Other language spoken regularly at home,  English,,83445,,41350,,42095,,5.9,,5.9,,6,
Other language spoken regularly at home,  French,,11630,,5435,,6195,,0.8,,0.8,,0.9,
Other language spoken regularly at home,  Non-official language,,106465,,50505,,55960,,7.6,,7.2,,7.9,
Other language spoken regularly at home,    Indigenous,39,1985,,845,,1140,,0.1,,0.1,,0.2,
Other language spoken regularly at home,    Non-Indigenous,,104480,,49660,,54820,,7.4,,7.1,,7.8,
Other language spoken regularly at home,  English and French,,1225,,600,,625,,0.1,,0.1,,0.1,
Other language spoken regularly at home,  English and non-official language(s),,14150,,7025,,7125,,1,,1,,1,
Other language spoken regularly at home,  French and non-official language(s),,3140,,1460,,1675,,0.2,,0.2,,0.2,
Other language spoken regularly at home,"  English, French and non-official language(s)",,305,,150,,155,,0,,0,,0,
Other language spoken regularly at home,  Multiple non-official languages,,11830,,5735,,6100,,0.8,,0.8,,0.9,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,43,1397750,,696310,,701440,,100,,100,,100,
Knowledge of languages,  Official languages,,1373775,,686635,,687135,,98.3,,98.6,,98,
Knowledge of languages,    English,,1372110,,685975,,686135,,98.2,,98.5,,97.8,
Knowledge of languages,    French,,96620,,44595,,52025,,6.9,,6.4,,7.4,
Knowledge of languages,  Non-official languages,,454895,,219075,,235815,,32.5,,31.5,,33.6,
Knowledge of languages,    Indigenous languages,39,4860,,2110,,2750,,0.3,,0.3,,0.4,
Knowledge of languages,      Algonquian languages,,4100,,1825,,2280,,0.3,,0.3,,0.3,
Knowledge of languages,        Blackfoot,,50,,30,,25,,0,,0,,0,
Knowledge of languages,        Cree-Innu languages,,3910,,1725,,2185,,0.3,,0.2,,0.3,
Knowledge of languages,          Atikamekw,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Cree languages,,3895,,1725,,2170,,0.3,,0.2,,0.3,
Knowledge of languages,            Ililimowin (Moose Cree),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Inu Ayimun (Southern East Cree),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Iyiyiw-Ayimiwin (Northern East Cree),,35,,20,,20,,0,,0,,0,
Knowledge of languages,            Nehinawewin (Swampy Cree),,60,,30,,30,,0,,0,,0,
Knowledge of languages,            Nehiyawewin (Plains Cree),,1380,,535,,850,,0.1,,0.1,,0.1,
Knowledge of languages,            Nihithawiwin (Woods Cree),,375,,165,,210,,0,,0,,0,
Knowledge of languages,"            Cree, n.o.s.",,2080,,990,,1085,,0.1,,0.1,,0.2,
Knowledge of languages,          Innu (Montagnais),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Naskapi,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Eastern Algonquian languages,,10,,0,,0,,0,,0,,0,
Knowledge of languages,          Mi'kmaq,,10,,0,,0,,0,,0,,0,
Knowledge of languages,          Wolastoqewi (Malecite),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Ojibway-Potawatomi languages,,155,,80,,75,,0,,0,,0,
Knowledge of languages,          Anicinabemowin (Algonquin),,10,,0,,10,,0,,0,,0,
Knowledge of languages,          Oji-Cree,,20,,0,,15,,0,,0,,0,
Knowledge of languages,          Ojibway languages,,135,,65,,65,,0,,0,,0,
Knowledge of languages,            Anishinaabemowin (Chippewa),,35,,20,,15,,0,,0,,0,
Knowledge of languages,            Daawaamwin (Odawa),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Saulteau (Western Ojibway),,35,,10,,20,,0,,0,,0,
Knowledge of languages,"            Ojibway, n.o.s.",,65,,35,,30,,0,,0,,0,
Knowledge of languages,"        Algonquian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Athabaskan languages,,325,,120,,215,,0,,0,,0,
Knowledge of languages,        Northern Athabaskan languages,,325,,120,,210,,0,,0,,0,
Knowledge of languages,          Dakelh (Carrier),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Dane-zaa (Beaver),,0,,0,,0,,0,,0,,0,
Knowledge of languages,"          Dene, n.o.s.",,170,,55,,115,,0,,0,,0,
Knowledge of languages,          Gwich'in,,15,,15,,0,,0,,0,,0,
Knowledge of languages,          Slavey-Hare languages,,60,,10,,50,,0,,0,,0,
Knowledge of languages,            Deh Gah Ghotie Zhatie (South Slavey),,35,,10,,25,,0,,0,,0,
Knowledge of languages,            Satuotine Yati (North Slavey),,20,,0,,15,,0,,0,,0,
Knowledge of languages,"            Slavey, n.o.s.",,10,,0,,10,,0,,0,,0,
Knowledge of languages,          Tahltan languages,,15,,10,,0,,0,,0,,0,
Knowledge of languages,            Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Tahltan,,10,,10,,0,,0,,0,,0,
Knowledge of languages,          Tlicho (Dogrib),,65,,25,,40,,0,,0,,0,
Knowledge of languages,          Tse'khene (Sekani),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tsilhqot'in (Chilcotin),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tsuu T'ina (Sarsi),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tutchone languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Northern Tutchone,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Southern Tutchone,,0,,0,,0,,0,,0,,0,
Knowledge of languages,"            Tutchone, n.o.s.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Wetsuwet'en-Babine,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Tlingit,,0,,0,,0,,0,,0,,0,
Knowledge of languages,"        Athabaskan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Haida,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Inuktut (Inuit) languages,,70,,0,,60,,0,,0,,0,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,15,,0,,10,,0,,0,,0,
Knowledge of languages,          Inuinnaqtun,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Inuvialuktun,,15,,0,,10,,0,,0,,0,
Knowledge of languages,        Inuktitut,,55,,0,,45,,0,,0,,0,
Knowledge of languages,"        Inuktut (Inuit) languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Iroquoian languages,,25,,0,,15,,0,,0,,0,
Knowledge of languages,        Cayuga,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Mohawk,,15,,0,,15,,0,,0,,0,
Knowledge of languages,        Oneida,,0,,0,,0,,0,,0,,0,
Knowledge of languages,"        Iroquoian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Ktunaxa (Kutenai),,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Michif,,95,,50,,50,,0,,0,,0,
Knowledge of languages,      Salish languages,,10,,0,,10,,0,,0,,0,
Knowledge of languages,        Halkomelem,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Lillooet,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Ntlakapamux (Thompson),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Secwepemctsin (Shuswap),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Squamish,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Straits,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Syilx (Okanagan),,0,,0,,0,,0,,0,,0,
Knowledge of languages,"        Salish languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Siouan languages,,380,,175,,200,,0,,0,,0,
Knowledge of languages,        Assiniboine,,40,,15,,30,,0,,0,,0,
Knowledge of languages,        Dakota,,70,,30,,40,,0,,0,,0,
Knowledge of languages,        Stoney,,265,,130,,135,,0,,0,,0,
Knowledge of languages,"        Siouan languages, n.i.e.",,15,,10,,10,,0,,0,,0,
Knowledge of languages,      Tsimshian languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Nisga'a,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Tsimshian,,0,,0,,0,,0,,0,,0,
